partID,anomaly,part_id,surface_roughness,parallelism,groove_depth,groove_diameter,que
100101,0,100101,1.821,0.02,0.803,-0.0335,1
100102,0,100102,1.802,0.037,0.808,-0.03,1
100103,0,100103,1.995,0.0245,0.8,-0.031,1
100201,0,100201,1.605,0.021,0.808,-0.0285,1
100202,0,100202,1.506,0.0195,0.808,-0.0295,1
100301,0,100301,1.217,0.0245,0.807,-0.029,1
100304,0,100304,1.215,0.0225,0.804,-0.028,1
100401,0,100401,1.237,0.0285,0.799,-0.0275,1
100402,0,100402,1.234,0.03,0.804,-0.031,1
100403,0,100403,1.285,0.0495,0.805,-0.0305,1
100501,0,100501,1.371,0.033,0.801,-0.026,1
100504,0,100504,2.123,0.0555,0.8,-0.037,1
100601,0,100601,1.681,0.1155,0.805,-0.0405,1
100602,0,100602,2.216,0.0355,0.789,-0.038,1
100604,0,100604,2.157,0.0995,0.798,-0.036,1
100701,0,100701,2.554,0.0245,0.788,-0.037,1
100801,0,100801,2.032,0.0575,0.786,-0.0295,1
100802,0,100802,1.607,0.0375,0.795,-0.038,1
100804,0,100804,2.01,0.0405,0.802,-0.03,1
100902,0,100902,1.734,0.0235,0.79,-0.032,1
100903,0,100903,1.87,0.0415,0.789,-0.0315,1
100904,0,100904,1.703,0.03,0.79,-0.0275,1
101001,1,101001,1.609,0.0275,0.793,-0.032,1
101002,0,101002,1.956,0.026,0.788,-0.0295,1
101003,0,101003,1.588,0.0245,0.794,-0.0275,1
101004,0,101004,1.678,0.043,0.791,-0.0275,1
101103,3,101103,3.13,0.0185,0.844,0.8155,1
101104,3,101104,2.854,0.0245,0.896,0.289,1
101201,0,101201,3.015,0.02,0.804,-0.0395,1
101202,0,101202,2.837,0.024,0.801,-0.0395,1
101203,0,101203,3.023,0.0185,0.789,-0.0405,1
101301,0,101301,3.03,0.0185,0.802,-0.037,1
101304,0,101304,2.715,0.0155,0.797,-0.036,1
101401,0,101401,2.756,0.018,0.798,-0.04,1
101402,0,101402,2.705,0.02,0.792,-0.0385,1
101404,0,101404,2.591,0.036,0.803,-0.031,1
101501,0,101501,2.253,0.045,0.8,-0.033,1
101502,0,101502,2.277,0.023,0.795,-0.032,1
101504,0,101504,2.262,0.0295,0.801,-0.032,1
101601,0,101601,2.241,0.0305,0.8,-0.0325,1
101602,0,101602,2.357,0.018,0.795,-0.031,1
101603,0,101603,2.138,0.0185,0.798,-0.032,1
101604,0,101604,1.641,0.02,0.804,-0.0325,1
101701,0,101701,1.98,0.04,0.799,-0.0325,1
101703,0,101703,2.171,0.033,0.804,-0.032,1
101704,0,101704,1.6,0.02,0.799,-0.033,1
101801,0,101801,1.466,0.0265,0.796,-0.033,1
101802,0,101802,1.796,0.02,0.792,-0.0315,1
101803,0,101803,1.908,0.042,0.796,-0.031,1
101804,0,101804,1.614,0.023,0.796,-0.032,1
101901,0,101901,1.408,0.048,0.801,-0.033,1
101902,0,101902,1.38,0.0425,0.801,-0.0315,1
101903,0,101903,1.527,0.0325,0.8,-0.0315,1
102001,0,102001,1.522,0.018,0.798,-0.033,1
102002,0,102002,1.489,0.0775,0.793,-0.031,1
102003,0,102003,1.52,0.0265,0.794,-0.0335,1
102102,0,102102,1.284,0.037,0.778,-0.0275,1
102104,0,102104,1.539,0.038,0.785,-0.0285,1
102201,0,102201,2.312,0.031,0.781,-0.028,1
102203,0,102203,1.921,0.043,0.782,-0.03,1
102204,0,102204,1.419,0.058,0.782,-0.0315,1
102301,0,102301,1.844,0.039,0.789,-0.0315,1
102302,0,102302,2.018,0.0325,0.788,-0.0285,1
102303,0,102303,2.118,0.0295,0.782,-0.0275,1
102304,0,102304,2.091,0.0325,0.784,-0.024,1
102401,0,102401,2.081,0.021,0.786,-0.0295,1
102402,0,102402,2.044,0.0245,0.788,-0.029,1
102403,0,102403,1.626,0.0215,0.791,-0.029,1
102404,0,102404,1.622,0.03,0.781,-0.0265,1
102501,0,102501,2.087,0.02,0.79,-0.029,1
102601,0,102601,2.034,0.024,0.789,-0.0285,1
102602,0,102602,2.044,0.023,0.788,-0.0275,1
102603,0,102603,2.152,0.0205,0.784,-0.028,1
102703,0,102703,2.321,0.0255,0.792,-0.0355,1
102704,0,102704,1.926,0.036,0.787,-0.0295,1
102801,0,102801,2.042,0.023,0.791,-0.0325,1
102803,0,102803,2.015,0.021,0.792,-0.035,1
102901,0,102901,1.651,0.0275,0.79,-0.032,1
102902,0,102902,1.92,0.028,0.792,-0.034,1
102903,0,102903,1.944,0.0185,0.787,-0.0335,1
102904,0,102904,1.636,0.0455,0.793,-0.034,1
103003,0,103003,2.14,0.0275,0.797,-0.0345,1
103101,0,103101,2.15,0.019,0.796,-0.032,1
103102,0,103102,2.004,0.026,0.798,-0.0315,1
